,Algorithmus,n,Fehler (log10),Laufzeit (ms),Operationen
0,montecarlo,1,0.497149872694134,13.1225585937500,4
1,montecarlo,1,-0.0663065742530069,0E-22,9
2,montecarlo,3,-0.0663065742530069,0E-22,19
3,montecarlo,6,-0.717285737336355,0E-22,29
4,montecarlo,12,-0.323374066112785,0E-21,44
5,montecarlo,23,-0.788465200294153,0E-21,99
6,montecarlo,45,-0.923103236726081,0E-21,174
7,montecarlo,85,-1.44720649342285,0E-22,334
8,montecarlo,161,-0.868440763436546,0.0953674316406250,609
9,montecarlo,303,-0.926317042032678,1.04475021362305,1149
10,montecarlo,573,-1.68379869371683,2.00986862182617,2269
11,montecarlo,1082,-1.80900203309116,3.82876396179199,4274
12,montecarlo,2043,-1.46347498219610,7.00426101684570,7939
13,montecarlo,3856,-1.61292265512312,12.1169090270996,15264
14,montecarlo,7278,-1.89581711329450,1.56092643737793,28469
15,montecarlo,13738,-1.70207894708384,15.5742168426514,54294
16,montecarlo,25929,-2.47749367789069,33.5092544555664,101719
17,montecarlo,48939,-2.26543171969263,28.7845134735107,192519
18,montecarlo,92367,-2.12010165219084,78.1159400939941,363604
19,montecarlo,174332,-2.78178790137737,156.347036361694,684244
20,montecarlo,329034,-3.13485839839284,299.762487411499,1292419
21,montecarlo,621016,-4.57047375095136,551.506042480469,2438749
22,montecarlo,1172102,-3.02877162946565,972.566604614258,4604209
23,montecarlo,2212216,-2.73570995795115,1914.08777236938,8682274
24,montecarlo,4175318,-2.98806578768637,3576.47800445557,16401804
25,montecarlo,7880462,-4.36312778861272,6816.25151634216,30946079
26,montecarlo,14873521,-3.27543000795929,15713.3650779724,58398324
27,montecarlo,28072162,-3.36370281545434,29863.1877899170,110223939
28,montecarlo,52983169,-3.87468815362933,55404.1414260864,208055584
29,montecarlo,100000000,-3.88357022635206,101745.959281921,392715429
30,leibniz,1,-0.488017747293823,0E-22,11
31,leibniz,1,-0.488017747293823,0E-22,11
32,leibniz,3,-0.847265875825638,0E-22,29
33,leibniz,6,-1.11458159971737,0E-22,56
34,leibniz,12,-1.39811341532413,0E-22,110
35,leibniz,23,-1.67214698351481,0E-22,209
36,leibniz,45,-1.95905450171319,0E-22,407
37,leibniz,85,-2.23299982331044,0E-22,767
38,leibniz,161,-2.50920356300483,0E-22,1451
39,leibniz,303,-2.78318898575183,0E-22,2729
40,leibniz,573,-3.05956350042847,17.4529552459717,5159
41,leibniz,1082,-3.33545792385311,9.95707511901855,9740
42,leibniz,2043,-3.61140464421162,12.5682353973389,18389
43,leibniz,3856,-3.88722333318759,12.3982429504395,34706
44,leibniz,7278,-4.16307188251619,52.9966354370117,65504
45,leibniz,13738,-4.43896931388180,59.0217113494873,123644
46,leibniz,25929,-4.71482413802964,140.800952911377,233363
47,leibniz,48939,-4.99068952365900,269.617319107056,440453
48,leibniz,92367,-5.26654918492283,504.658937454224,831305
49,leibniz,174332,-5.54240835383008,892.775058746338,1568990
50,leibniz,329034,-5.81827143274518,1684.66234207153,2961308
51,leibniz,621016,-6.09413313491270,3165.94862937927,5589146
52,leibniz,1172102,-6.36999558792450,6044.62814331055,10548920
53,leibniz,2212216,-6.64585762288719,11470.7653522491,19909946
54,leibniz,4175318,-6.92171960542770,22501.9881725311,37577864
55,leibniz,7880462,-7.19758170240526,43523.3612060547,70924160
56,leibniz,14873521,-7.47344380123737,100340.966224670,133861691
57,leibniz,28072162,-7.74930586485854,232006.301403046,252649460
58,leibniz,52983169,-8.02516793028182,426873.478412628,476848523
59,leibniz,100000000,-8.30102999783545,587074.549198151,900000002
60,viete,1,-0.504226048200656,19.8562145233154,3
61,viete,1,-0.504226048200656,0E-22,3
62,viete,2,-1.09623090232676,12.7921104431152,7
63,viete,3,-1.69577880684913,11.0814571380615,11
64,viete,4,-2.29721088405342,11.0015869140625,15
65,viete,7,-4.10318483312414,18.0928707122803,27
66,viete,10,-5.90936158800568,38.0666255950928,39
67,viete,16,-9.52172148488908,38.3856296539307,63
68,viete,23,-13.7361414241723,62.5050067901611,91
69,viete,35,-20.9608613201079,109.344720840454,139
70,viete,52,-31.1958811726832,140.611171722412,207
71,viete,78,-46.8494409472103,204.763889312744,311
72,viete,117,-70.3297806090008,296.847105026245,467
73,viete,174,-104.647200114695,470.651626586914,695
74,viete,259,-155.822299377571,657.351255416870,1035
75,viete,385,-231.681858284895,972.954511642456,1539
76,viete,573,-344.869136654552,1457.95989036560,2291
77,viete,853,-513.445934226381,2183.62736701965,3411
78,viete,1268,-763.300830627486,3253.18956375122,5071
79,viete,1887,-1135.97596525949,4575.93178749084,7547
80,viete,2807,-1689.87115728122,6522.19200134277,11227
81,viete,4175,-1996.77466486818,9283.50305557251,16699
82,viete,6210,-1996.77466486818,12961.8453979492,24839
83,viete,9236,-1996.77466486818,18733.7553501129,36943
84,viete,13738,-1996.77466486818,27022.1838951111,54951
85,viete,20433,-1996.77466486818,39555.2000999451,81731
86,viete,30391,-1996.77466486818,58079.3724060059,121563
87,viete,45203,-1996.77466486818,85830.9183120728,180811
88,viete,67233,-1996.77466486818,127114.933013916,268931
89,viete,100000,-1996.77466486818,190452.749013901,399999
90,chudnovsky,1,-27.5116639396624,994.062662124634,57
91,chudnovsky,1,-27.5116639396624,938.991546630859,57
92,chudnovsky,1,-27.5116639396624,940.094232559204,57
93,chudnovsky,2,-41.7643402090927,1418.20096969604,99
94,chudnovsky,2,-41.7643402090927,1415.29130935669,99
95,chudnovsky,3,-55.9998777323576,1898.30613136292,151
96,chudnovsky,4,-70.2248155459943,2347.63312339783,213
97,chudnovsky,5,-84.4426048717006,2816.08343124390,285
98,chudnovsky,6,-98.6552600422679,3296.81515693665,367
99,chudnovsky,8,-127.069837192064,4222.35631942749,561
100,chudnovsky,10,-155.474612395807,5260.30945777893,795
101,chudnovsky,13,-198.069901801000,6655.49182891846,1221
102,chudnovsky,17,-254.849417054781,8444.47255134583,1929
103,chudnovsky,22,-325.809628845236,10869.0392971039,3039
104,chudnovsky,28,-410.948915226188,13672.6186275482,4701
