,n,Pi,Fehler,Operationen,Laufzeit,Algorithmus
0,1,0,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428810975665933446128475648233786783165271201909145648566923460348610454326648213393607260249141273724587006606315588174881520920962829254091715364367892590360011330530548820466521384146951941511609433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,4,13.1225585937500000000000,montecarlo
1,1,4,0.858407346410206761537356616720497115802830600624894179025055407692183593713791001371965174657882932017851913486717693352906155390449417768274640591871518882549715897298061478894440355377051045069618035571189024334066553871524351766213216834728798090854351433076539651389545673351786606392739750858726275412993393684411825118479079037170745908284635632107409639988669469451179533478615853048058488390566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901,9,0E-22,montecarlo
2,3,4,0.858407346410206761537356616720497115802830600624894179025055407692183593713791001371965174657882932017851913486717693352906155390449417768274640591871518882549715897298061478894440355377051045069618035571189024334066553871524351766213216834728798090854351433076539651389545673351786606392739750858726275412993393684411825118479079037170745908284635632107409639988669469451179533478615853048058488390566942729634240408046907813882618067388206894881451925537620037250432648114247275108772061816988050870166326637559343356913978605053604775262809297820139056297229460782823706823247615325181532330594867999431872854736439172214228657242210390826362821278531559098775046569853450414628949207720310741076457980043887870978039135965581840186370225228690039481292788650000001627021950048940268267183903681404975540544653091697357477691746655314964738068811828989996862161247113412466791618579382822330852696401746509571244531268840437136117646212406248042218142219467828773193386998072123388804090783579801061904742798934514136721134063846618172031769698047964698147031004226377400586108750278224716520868484425142757545849304049170466883138272144110924901618245362535060680744939599072298328860990151175987141638396436292339895289818057044403801053232162550551744620225273152895952465353791953315740930508706686322971010847895247837943033975941961849806488746617569964412359752503526736085800727395730077203217645218363990658278358780075413684969713817025444293250161494505411413073004309072789202490697044678834655012797244039763519334500880118165202246433630192573457472137448181582425327109022227206199918352939983854750807826782785227649858558026431451838638842647447866524258150531561476676092605856665452237583137481016430514437900780777815727449745743112328209505398346533195011372767208213914215616172032023318545899046116213639049319935774874794882607015103915871511373054395758034714977789338813693255721377960805054952876286213039043635628082712532235342426037586109134167354004186609521972409901,19,0E-22,montecarlo
3,6,3.33333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,0.191740679743540094870689950053830449136163933958227512358388741025516927047124334705298507991216265351185246820051026686239488723782751101607973925204852215883049230631394812227773688710384378402951368904522357667399887204857685099546550168062131424187684766409872984722879006685119939726073084192059608746326727017745158451812412370504079241617968965440742973322002802784512866811949186381391821723900276062967573741380241147215951400721540228214785258870953370583765981447580608442105395150321384203499659970892676690247311938386938108596142631153472389630562794116157040156580948658514865663928201332765206188069772505547561990575543724159696154611864892432108379903186783747962282541053644074409791313377221204311372469298915173519703558562023372814626121983333334960355283382273601600517237014738308873877986425030690811025079988648298071402145162323330195494580446745800124951912716155664186029735079842904577864602173770469450979545739581375551475552801162106526720331405456722137424116913134395238076132267847470054467397179951505365103031381298031480364337559710733919442083611558049854201817758476090879182637382503800216471605477444258234951578695868394014078272932405631662194323484509320474971729769625673228623151390377737134386565495883885077953558606486229285798687125286649074263842040019656304344181228581171276367309275295183139822079950903297745693085836860069419134060729063410536550978551697323991611692113408747018303047150358777626583494827838744746406337642406122535824030378012167988346130577373096852667834213451498535579766963525906790805470781514915758660442355560539533251686273317188084141160116118560983191891359764785171972175980781199857591483864894810009425939189998785570916470814349763847771234114111149060783079076445661542838731679866528344706100541547247548949505365356651879232379449546972382653269108208128215940348437249204844706387729091368048311122672147026589054711294138388286209619546372376968961416045865568675759370919442467500687337519942855305743231,29,0E-22,montecarlo
4,12,2.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,0.474925986923126571795976716612836217530502732708439154308277925641149739619542331961368158675450401315481419846615639980427177942883915565058692741461814450783617436035271854438892977956282288263715297762144308999266779461808981567120116498604535242478981900256793681943787659981546726940593582474607057920339939648921508214854254296162587425048697701225923693344663863882153799854717480285274844942766390603699092925286425519450715265945126438451881407795713296082900685219086058224561271516345282463167006695773989976419354728279728558070524035513194277036103872550509626510085718008151801002738465333901460478596894161119104676091122942506970512054801774234558286763479882918704384125613022592256875353289445462355294197367751493146963108104643293852040544683333331706311383284393065066149429651928357792788680241635975855641586678018368595264521504343336471172086219920866541714753950511002480636931586823762088802064492896197215687120927085291115191113865504560139946335261209944529242549753532271428590534398819196612199269486715161301563635285368635186302329106955932747224583055108616812464848908190575787484029284162866450195061189222408431715087970798272652588393734261035004472343182157346191694936897040993438043515276288929532280101170782781588713108060180437380867979541380017592402824626647010362322485438085495390299357391371483526844586715763368920973580829806597247532605937603256130115688114969342675054974553257919648363619516307889040083171838827921920260329024260544130842636288654498678320536089293569813998832453215168131086899703140759875861195885151750908006224311106127133414980393349478582525506550548105683474775306901881494694490685885466809075182801771856657240727476667881095750195852316902818895432552555517605883587590221005123827934986800138321960566125119419117717161301310014787434287217119694284013397558458538450726318229417461821960278937575298618355543994519640077611955372528278380457047120294289697705250620801097990907295747224199165979329146723811360923429,44,0E-21,montecarlo
5,23,3.30434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304347826086956521739130434782608695652174,0.162755172497163283276487051503105811455004513668372439894620625083487941539877957893704305092665540713504087399761171613775720607840722116100727548393258012984498505993713652807483833637920610287009339919015111290588293001959134374908869008641841569115220998293930955737371760308308345523174533467421927586906437162672694683696470341518571995241157371237844422597365121625092576956876722613275879694914768816590762147177342596491313719562119938359712795102837428554780474201203796847902496599596746522340239681037604226479195996357952601349765819559269491079838156434997619866725876194746749721899215825518829376475569606996837352894384303869841082148096776490079394395940406936368079642502919436728631893087366131847604353356886188012457181750429169916075397345652175540065428309809833484575208029231062497066392222132140086387398829228008216329681394207388166509073200368988530749014165431026504870314789987832114096486231741483943733168927987172652924828163480947106430476332992954021482087927627148861264538064948919329829716020531215510030567613182089451378830313333922325239185060833412173042397468621018415414521440474814709225228665850055336400854058187234593788417859941863546252294499002074098160135566727122503985470230957447279314101727767943048968051360109417691595788574562011393104421750164583840576065286552185769120932463700980241271355313222138325403230764396301303192031743556164159739384348798773266974010953988457163230583382242835597597987581461933152203439091681484854664610088157095524578014635344111345421457401857295637029042325844747370515615709051147642718413370053293156440092070418637359503478956698271128119427591648843142986668734404388263388585314170172328266518900143713107148354872320778340524857302516946162232354438764502122548876607402760228764071556040001172137911162458101154594698290126682527580805340092186186954841190872393250503489178366730367151702382291954125286595352109402778963242734778174070410691408184409255469515846978699384745308534435608928931641,99,0E-21,montecarlo
6,45,3.02222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,0.119370431367571016240421161057280661974947177152883598752722370085594184063986776405812603119894845759925864291060084424871622387328360009503137185906258895228061880479716298883337422400726732708159742206588753443711223906253426011564560943048979686923426344701238126388232104425991171385038026919051502364784384093365952659298698740607031869493142145670368137789108308326598244299161924729719289387210835048143537369730869963895159710389570882896325852240157740527345129663530502669005715960789726907611451140218434420863799172724173002514968479957638721480548316994954070954530162452596245447182909778345904923041338605563549120535567386951414956499246218679002731207924327363148828570057467036701319797733889906799738641812195937591407552549087738296484989127777776150755827728837509510593874096372802237233124686080420300086031122462813039708965948787780915616530664365310986159198394955446925081376031268206533246508937340641660131565371529735559635558309949004584390779705654388973686994197976715873034978843263641056643713931159605746008079729813079630746773551400377191669027499553061256909293352635020231928473728607310894639505633666852876159532415242717097032838178705479448916787626601790636139381341485437882487959720733373976724545615227226033157552504624881825312423985824462036847269071091454806766929882529939834743801835815927971289031160207813365418025274251041691977050382047700574560132559413787119499418997702364092808063960752333484527616283272366364704773468704988575287080733098943122764980533738014258443276897659612575531344147585204320305640329596195352450668755550571577859424837793923026969950994992550127919219751346325939138935130329911253519627246216301101685171921112325540194640296761347263339876996999962050328032034665449568272379431244582766405010569563863562161605745754459231878731661564138728457842002902982895170762673861906266404723382019743062799988438964084522056399816972722824901491564738734142149695065245542435351740191668643610423773591168255805367879,174,0E-21,montecarlo
7,85,3.10588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647058823529411765,0.035710300648616767874408089161855825373639987610399938622003415837228170992091351569211295930352362099795145336811718411799726962491758702313594702246128176273813514466644403458500821093537190224499611487634505077698152010828589410257371400565319556204472096335225054492807267824683981842554366788332548116418371021470527822697391551064548209362423191422002124717212883489996937109619441069588570432962469035071641944894268656705617226729440163942077486227085845102508528356340960185345585241835478541598379244793597819556609630240512871796014231591625649585123480393646881412046502321877291198816896706450480086440031416021065460404848432703048943427350793842401424018381843703018109615809101023629424372897288599610196158152065218637159186536015842871648387820588233667095697009883261144580802200947965635925935143596760169367076874096799967813541112186473726074047004234592031910832381883551500244774724078664049586378218386393294118493476104898958328368767465344453671825457288375901791569361375408683492495183132922102395347918087710321171478422623537147086642832446128825655955604128224655602103810151360101209519480241297822744080797065545686617048755111998142784472165633584024080186319412248152479250622531189516474887825308537375417356072743565902438598256258868753416999149223154847304785410960735852518563869458044409907200528626385487628900441253564999404953378826205090669860839564040443841178311047774047603994161101056903265580300621614530279250270200470939868172161515446091626950014144694756751908638313177657136087355175952444812389899219191248410215492994888162908185095419852623611058824722027602133349687803007644259089032392077573125863234905074652212437703732640970966217672746312468299215460160040073797393336869243096079666021593554143435778124055040282744879850609615196148533850329622630571542119080478597738887754536969823275337837260599076862239721889024108551622425892189097219798509783180341241360845784485776136623169820705834044550649184983479704819342802242733472449,334,0E-22,montecarlo
8,161,3.00621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248447204968944099378881987577639751552795031055900621118012422360248,0.135381473465569635978171333590061890408349523598708305446994281748810195106084775025550353292427626988359266637505909131565894298991576020545235184525996645400594661708149701229783247107421004619822958217630851442330961656425958792792994345395425511630120616612901342399274202424610909135210559700279935767130829918072646931210361956618073967491761883420540670570336741728944690123868619001630952603221877146142157107481042496676388143791917328721032546512069403743356171761529122406755888493570955341013797586043141115135710835940184044612967099695388894013329545428356417400354869146868157110398920820443903542779088778096330348968969733397239663193518130342218742250022325982886578742590248265134722144179714613494010553475411948633505551168825488469017770356211178497201652435531781422257090107414900235852862436252953081314464524809258864415660220699444131627572762363930723909370927736675358483722477092913227518420600556652702229563991267485732168339538382406930836604412348660885350210209018813871654716593436173837872147333506051570714774001724742846757815649398996929419200032334289690311639798459726926200385391823321936737504253404603048692313643676119443478662885399751360580003637643888634759119091657970663716393123079819801431239887138889249168594602623501563062596518605690470249615516916161501038841545745950876841800455553678143821812388641215711863849980945313603640266393089798573179870309586319900727852400048809917514758232663996700538658381270986102454946001486217008689427178923649817036892196954025300541275517397362748064125376018606666751465036290467264113884766592669576479162587966455808198384397338995952625914023257989155149977228328530991269799778997529535087518366937032234466551959977358305437875616737712222860813263098851914718204137938854678068226580605961560781343495926992013107165063910584553164536274814646111181804771860526004154895914800971496202334884788791216328311480188733866999490184476484314682476293678944781797564898362915522086989602210353803987619,609,0.0953674316406250000000,montecarlo
9,303,3.02310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231023102310231,0.118490343358770136152412360177192653174067089144082718664713569205506175263106688397011723031886044879837855490179996416070742299319559129415128385026170886427181792470915418795328621520638723907279654197787873355702423026165417210684472934248099598914625464613229325508144095625111083376237146831042701484696375292485864650497818652598230989405133344790280128988228220317797364211153123849631280586330747039342657281722069083807150909509482874095445764231356860439336328783442493868125627951988846819602650260130425619983711163923292914506167599869629920600460308194073982945729282364587444567094900977465816914240458517554748240447558586071326947698366130670201851119915526483060819769177379027900439709725089026711729840932107928790527464540286858208476188247689767349875739720036629422585073216284793436353036677279540212077230242374804238828877939986900827607729784277302185279110386154566837072575151180197732366420928539761572122764491441726758755470301148124496381978825566380172806906189175835785026177963175632255763625922358725657999278849725070829866685542599497103660226619465052456029205343834140143919672848519302093759417624865972788150731535154708296152750169904599360907986746513781835259293332684557794479158840645365175844457606426345945148751624536873024432335977023581948838468191003446005886841873729059746735000955727919170408943151406933277409224394163032891096962373246820486551331679325778318619330988901484004799263080664324683647528274471486276695972588616979774406992724298063034756179653650005457563188888858732487522543267497195519425552320795315264441867875462562776979336828993042938961150114904541327039131742545445851130134250241902452639539237415421013676371041024316739314552287960467175331076116911953249447944025864569480263578551156573965524922560762983474152804865666450430998643652763258640449041122814974094290674665061026178395922501931734261919900430163204434047598936884714024021403555937854054140894185157533634471652182867763522414972711080247004487789,1149,1.044750213623046875000,montecarlo
