,n,Pi,Fehler,Operationen,Laufzeit,Mantissenlänge
0,1,2.828427124746190097603377448419396157139343750753896146353359475981464956924214077700775068655283145470027692461824594049849672111701474425288242994199871662826445331855011185511599901002305564121142940219119943211940549069193724029457034837281778397219104658460968617428642901679525207255990502815979374506793092663617659281241230516704790109491500575519923459671150440675063714022708749206816997694,0.313165528843603140859265934860106727057825648621209674621585116326351449361994920927259756686833922512120394051457712597244172497849107806437116413928609454623838770846927335593959743620643390809239024209691032453992897059281924204329748327989423511926543908462491731181811424968688186351269746325294350080213513651970515600279690446124463982223863792372666900340180089873756752498675397745124513915433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,3,0E-22,400
1,1,2.828427124746190097603377448419396157139343750753896146353359475981464956924214077700775068655283145470027692461824594049849672111701474425288242994199871662826445331855011185511599901002305564121142940219119943211940549069193724029457034837281778397219104658460968617428642901679525207255990502815979374506793092663617659281241230516704790109491500575519923459671150440675063714022708749206816997694,0.313165528843603140859265934860106727057825648621209674621585116326351449361994920927259756686833922512120394051457712597244172497849107806437116413928609454623838770846927335593959743620643390809239024209691032453992897059281924204329748327989423511926543908462491731181811424968688186351269746325294350080213513651970515600279690446124463982223863792372666900340180089873756752498675397745124513915433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,3,0E-22,400
2,1,2.828427124746190097603377448419396157139343750753896146353359475981464956924214077700775068655283145470027692461824594049849672111701474425288242994199871662826445331855011185511599901002305564121142940219119943211940549069193724029457034837281778397219104658460968617428642901679525207255990502815979374506793092663617659281241230516704790109491500575519923459671150440675063714022708749206816997694,0.313165528843603140859265934860106727057825648621209674621585116326351449361994920927259756686833922512120394051457712597244172497849107806437116413928609454623838770846927335593959743620643390809239024209691032453992897059281924204329748327989423511926543908462491731181811424968688186351269746325294350080213513651970515600279690446124463982223863792372666900340180089873756752498675397745124513915433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,3,0E-22,400
3,2,3.061467458920718173827679872243190934090756499885016331470405085020368271680717537896110282738268377187394309291948447206048081607740783366753673421830961689311689618299052986813580766805366309281541372592420896998609772612049521312463049889471078803624581486119431755120628181618958676998388492800942154419369891411188549782012463231538208079341789943347034042514172235069097204611731553944601030011,0.080125194669075064634963511036311950106412899490089489504539507287448134605491460731924542603848690794753777221333859441045763001809798864971685986297519428138594484402885534291978877817582645648840591836390078667323673516426126921323733275800123105521067080804028593489826145029254716608871756340331570167636714904399625099508457731291046012373574424545556317497158295479723261909652593007340481598433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,7,0E-22,400
4,3,3.121445152258052285572557895632355854843065884031276924072033431916213100574793283605204947745446107695873121688585788143452797357561718221225462950840833145751391500805896662501455852458759726020716481585285548423099682928446910680607837780135306672411700222793359427202462317380007453310856875581099342749362387041251790110382283120387407328702553429793050728027956587241216462781250628793892463322,0.020147501331740952890085487647147029354103515343828896902911160391603305711415715022829877596670960286274964824696518503641047251988864010499896457287647971698892601896041858604103792164189228909665482843525427242833763200028737553178945385135895236733948344130100921407992009268205940296403373560174381837644219274336384771138637842441846763012810938099539631983373943307604003740133518158049048287433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,11,0E-22,400
5,4,3.136548490545939263814258044436539067556373541360018152232479353900393689250801177827554468682193905730374608846211269020007898976781565892115189988738738829182674250379024400634838953210355378962375260694472797679605861928024384122430474641355419413672060919836314956876503107261969178981410660825827687156416722045785558771166742185799838278039028471487969304890057720962814377858589865525017048514,0.005044163043853974648385338842963816640795858015087668742465238407422717035407820800480356659923162251773477667071037627085945632769016339610169419389742288267609852322914120470720691412593575968006703734338177986327584200451264111356308523915782495473587647087145391733951219386244214625849588315446037430589884269802616110354178777029415813676335896404621055121272809586006088662794281426924463095433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,15,0E-22,400
6,6,3.141277250932772868062019770788214408379663262649789129824867044927097361586525961491274380225786743882092637853848696165556680498894618458527870451151842881168016436355755153090216613133818914290694077893480973561612038255372174392819335511511467089803216041958520386897308349873053057676222146153963170693246653475162018004325868124605120748649019220555233071939872833901016600800183388393003558884,0.000315402657020370400623612491288475817506136725316691150077547380719044699683037136760445116330324100055448659433610481537164110655963773197488956976638236282267666346183368015343031489130040639687886535330002104321407873103473840967447653759734819342432524964939961713145976775160335931038102987310553893759952840426156877195052838224133343066345147337357288071457696647803865721200758558937952725433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,23,0E-22,400
7,9,3.141587725277159700628854262701918739399280858574843286678421400551216704533146781507679194480102278575701052889724618489191829285391732288245632362036022503542686165693289539579010220671378631097573998796596521641745529494974521534540834134839607857968714298266825262016175720148899337849001517296885650240469526588549412610266382037911115798975599776305587375769457044109647550769781145127057096894,0.000004928312633537833789120577584144797888540800262534296523191756599701753062217120355630862014789406447033623557688157902015324158849943479727046092458613907597937008648981526549423951570323832807965632214454024187916633501126699245949030431594051176934268656635086594278606499314055758258731844388074346537079727038762271254538924918138292739764591587002984241873486439172915751603001824884414715433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099,35,17.1151161193847656250000,400
8,12,3.141592576584872665681606092237875309732053278431137981165112522963085445286454097584834068901152166410020856859154274968905788439592161206271590400175521431346130230842159521760787447157768116416871876497423735352469996759024443042637450626031972517038417863469830637805674568018480006594743049641834461793490610027334843833777535909524482596015564759919837152340440572979431554817524317823944430517,7.7004920572781037291041627574465116120943967839809832069344730960999754901043200756440964901572127229654128031678188056169958421025453769007952959686104153871859778999344772197465180838513510087931387240313463449369451205191149332539239229392107230703453629710804779758629733387012517199499439262793515996288253331047743385053304771495699799607972753207670889957569388911703859829127997081092433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099E-8,47,4.161357879638671875000,400
9,17,3.141592653514593120163348243281080432651659519822842849171815078089303231331893226340633026276554882098666322774965519020716949108720192770094728856535889147048766064678778572522085562035985399687492220840978566843776954507586885836059027261506692712323877989669005231591142867036309420575027647596726071282614371140788042666269684008075401114166404804959750762267566522957897261554319945833102719461,7.5200118299295139998422451545509879552262971803129514218513174954315772287401799065562185883481763738316787626376895500830389461630630551592591970401518038023159948583474082586963555242889743587832408822156491620888762397727755903764509196821770577254455117019311459611903973032232601544547653304392235174800132215251236954753852977548959562932839597743764007590923204967064201118838792148433057270365759591953092186117381932611793105118548074462379962749567351885752724891227938183011949129833673362440656643086021394946395224737190702179860943702770539217176293176752384674818467669405132000568127145263560827785771342757789609173637178721468440901224953430146549585371050792279689258923542019956112129021960864034418159813629774771309960518707211349999998372978049951059731732816096318595024459455346908302642522308253344685035261931188171010003137838752886587533208381420617177669147303598253490428755468731159562863882353787593751957781857780532171226806613001927876611195909216420198938095257201065485863278865936153381827968230301952035301852968995773622599413891249721775283479131515574857242454150695950829533116861727855889075098381754637464939319255060400927701671139009848824012858361603563707660104710181942955596198946767837449448255379774726847104047534646208046684259069491293313677028989152104752162056966024058038150193511253382430035587640247496473263914199272604269922796782354781636009341721641219924586315030286182974555706749838505494588586926995690927210797509302955321165344987202755960236480665499119881834797753566369807426542527862551818417574672890977772793800081647060016145249192173217214772350141441973568548161361157352552133475741849468438523323907394143334547762416862518983569485562099219222184272550254256887671790494601653466804988627232791786085784383827967976681454100953883786360950680064225125205117392984896084128488626945604241965285022210661186306744278622039194945047123713786960956364371917287467764657573962413890865832645995813390478027590099E-11,67,2.908229827880859375000,400
