"X","n","Pi","Fehler","Operationen","Laufzeit","k","sd","var"
0,10000,3.1276,0.0139926535897932,39099,11.0106468200684,1,0.00902106177539844,8.13795555555549e-05
1,11721,3.1314734237693,0.0101192298204903,45884,17.0049667358398,1,0.0140985787118496,0.000198769921694219
2,13738,3.11224341243267,0.0293492411571247,53449,9.37318801879883,1,0.0182829468340128,0.000334266144935337
3,16102,3.11911563780897,0.0224770157808254,62784,16.3893699645996,1,0.0134533755211227,0.000180993312912345
4,18873,3.14353838817358,0.00194573458378807,74164,15.8908367156982,1,0.0136881737509215,0.000187366100635416
5,22122,3.13570201609258,0.00589063749721571,86714,27.8110504150391,1,0.0110127033680221,0.000121279635472046
6,25929,3.13887924717498,0.00271340641481541,101739,22.9537487030029,1,0.00747372194897741,5.58565197706267e-05
7,30391,3.15488137935573,0.0132887257659371,119854,31.6498279571533,1,0.0135462124197493,0.00018349987092097
8,35622,3.12683173319859,0.0147609203912081,139234,31.4629077911377,1,0.0106690817822255,0.000113829306075816
9,41753,3.13788230785812,0.00371034573167526,163774,31.9454669952393,1,0.00638948839888021,4.08255619994248e-05
10,48939,3.13843764686651,0.00315500672328595,191994,46.5099811553955,1,0.00829452752755447,6.87991869053588e-05
11,57361,3.12721186869127,0.0143807848985222,224229,95.1318740844727,1,0.00993396141104189,9.86835893160693e-05
12,67233,3.14595511132926,0.00436245773946472,264394,72.131872177124,1,0.00667910247156906,4.46104098257199e-05
13,78804,3.12811532409522,0.0134773294945696,308139,70.1761245727539,1,0.00655714213104045,4.29961129266657e-05
14,92367,3.14402329836413,0.00243064477434114,363009,97.2506999969482,1,0.00335816783171773,1.12772911859837e-05
15,108263,3.14245864238013,0.00086598879033663,425269,107.264041900635,1,0.00612584353004378,3.75259589545793e-05
16,126896,3.1388853864582,0.00270726713159125,497894,125.754356384277,1,0.00408484408376809,1.66859511886952e-05
17,148735,3.14000067233671,0.00159198125308702,583789,126.839160919189,1,0.00320314642006448,1.02601469883719e-05
18,174332,3.1422573021591,0.000664648569305493,684749,156.66389465332,1,0.0035181880183954,1.2377646932781e-05
19,204335,3.13874764479898,0.00284500879081117,801699,172.664403915405,1,0.00409325900321617,1.67547692674103e-05
20,239502,3.1409174036125,0.000675249977297309,940324,205.699920654297,1,0.00366498534143714,1.34321175529491e-05
21,280721,3.14691098991525,0.0053183363254607,1104259,239.437103271484,1,0.00259250479197437,6.72108109641006e-06
22,329034,3.1400037686075,0.00158888498229371,1291464,282.583951950073,1,0.00186870594123173,3.49206189479476e-06
23,385662,3.13538798222278,0.00620467136701785,1511504,329.652786254883,1,0.00278743061843369,7.7697694525816e-06
24,452035,3.14000464565797,0.00158800793182428,1774244,377.675294876099,1,0.0025331843397834,6.41702289932384e-06
25,529831,3.14109970915254,0.000492944437252145,2080319,442.324638366699,1,0.00190266469243363,3.62013293183357e-06
26,621016,3.14205753152898,0.000464877939185081,2439089,518.722534179688,1,0.00219526229072764,4.81917652509077e-06
27,727895,3.14231585599571,0.000723202405920429,2859099,597.830772399902,1,0.00192242679655581,3.69572478811584e-06
28,853167,3.13798353663468,0.00360911695511328,3346534,693.070650100708,1,0.0021627488836013,4.67748273351869e-06
29,1000000,3.140724,0.000868653589793238,3925909,836.945533752441,1,0.00138763299662887,1.92552533333323e-06
0,10000,3.1492,0.00760734641020676,39369,15.5265331268311,2,0.00902106177539844,8.13795555555549e-05
1,11721,3.1314734237693,0.0101192298204903,45884,0,2,0.0140985787118496,0.000198769921694219
2,13738,3.16407046149367,0.022477807903874,54339,15.6276226043701,2,0.0182829468340128,0.000334266144935337
3,16102,3.12731337722022,0.0142792763695721,62949,15.6230926513672,2,0.0134533755211227,0.000180993312912345
4,18873,3.11556191384518,0.0260307397446176,73504,15.6233310699463,2,0.0136881737509215,0.000187366100635416
