,n,Pi,Fehler,Operationen,Laufzeit
0,1,2.828427124746190097603377448419396157139343750753896146353359475981464956924214077700775068655283145470027692461824594049849672111701474425288242994199871662826445331855011185511599901002305564121142940219119943211940549069193724029457034837281778397219104658460968617428642901679525207255990502815979374506793092663617659281241230516704790109491500575519923459671150440675063714022708749206816997694320773799941398009630061088055580632908495646136985873837243161156926223193337426026031237137974474470577018529722498995430843666840857137212029364944154287170974831131413935530744045297089403171760324151694984531445200417116893304291679778788874185318360062277649293631416526020118971740800637296068438979455658128209014527376262747971051223464408049018245540045388225514725456099147621793500803673973673690145159872945812152599388276095130964745799436065360494884125853824971810436200891968430118224049888268345706295621160720674215461836573862942034222336783316345377883951743316430425645903697694,0.3131655288436031408592659348601067270578256486212096746215851163263514493619949209272597566868339225121203940514577125972441724978491078064371164139286094546238387708469273355939597436206433908092390242096910324539928970592819242043297483279894235119265439084624917311818114249686881863512697463252943500802135136519705156002796904461244639822238637923726669003401800898737567524986753977451245139151122834704243615823230310980618012997032974589815622006251368015926411286924152988651967010450374746592566548327181576476551777281055380875251613372357066565317957080857623576460083393777290644976448078488731426138183604106688780384661098303847629934031083786235756597987300235652520790514790519628551030405004540008129463366581554118425785513069019115004616713046117728582525938519121099393152926446213507693101870353568303697088650685899042971853887349446426429546270327625613979452197252092390290795483652220830491731099988421896668919510198890157476354437488548814287290501845601807702633127225049,3,10.1239681243896484375000
1,1,2.828427124746190097603377448419396157139343750753896146353359475981464956924214077700775068655283145470027692461824594049849672111701474425288242994199871662826445331855011185511599901002305564121142940219119943211940549069193724029457034837281778397219104658460968617428642901679525207255990502815979374506793092663617659281241230516704790109491500575519923459671150440675063714022708749206816997694320773799941398009630061088055580632908495646136985873837243161156926223193337426026031237137974474470577018529722498995430843666840857137212029364944154287170974831131413935530744045297089403171760324151694984531445200417116893304291679778788874185318360062277649293631416526020118971740800637296068438979455658128209014527376262747971051223464408049018245540045388225514725456099147621793500803673973673690145159872945812152599388276095130964745799436065360494884125853824971810436200891968430118224049888268345706295621160720674215461836573862942034222336783316345377883951743316430425645903697694,0.3131655288436031408592659348601067270578256486212096746215851163263514493619949209272597566868339225121203940514577125972441724978491078064371164139286094546238387708469273355939597436206433908092390242096910324539928970592819242043297483279894235119265439084624917311818114249686881863512697463252943500802135136519705156002796904461244639822238637923726669003401800898737567524986753977451245139151122834704243615823230310980618012997032974589815622006251368015926411286924152988651967010450374746592566548327181576476551777281055380875251613372357066565317957080857623576460083393777290644976448078488731426138183604106688780384661098303847629934031083786235756597987300235652520790514790519628551030405004540008129463366581554118425785513069019115004616713046117728582525938519121099393152926446213507693101870353568303697088650685899042971853887349446426429546270327625613979452197252092390290795483652220830491731099988421896668919510198890157476354437488548814287290501845601807702633127225049,3,1.4564990997314453125000
2,2,3.061467458920718173827679872243190934090756499885016331470405085020368271680717537896110282738268377187394309291948447206048081607740783366753673421830961689311689618299052986813580766805366309281541372592420896998609772612049521312463049889471078803624581486119431755120628181618958676998388492800942154419369891411188549782012463231538208079341789943347034042514172235069097204611731553944601030011136160359077515287773873398190125141291386360690874876339425390528165324281202547726475629304409659067734213429203156611827682416486212548415971881949306023068041705967560128590113257026871126487921892626055254587563841900335794147994134801740896211961311870151028842192803173387237567069184447371423988711464478275577008696145395541764548596683114619650262151578132540338239361238573203339731702533156354836359384745499013262058013758339563396587595160827808809376277837982892339449820917238263060687038637399970389215775292314182709572887779924459718814164229224429513444754480803280952918163311328,0.0801251946690750646349635110363119501064128994900894895045395072874481346054914607319245426038486907947537772213338594410457630018097988649716859862975194281385944844028855342919788778175826456488405918363900786673236735164261269213237332758001231055210670808040285934898261450292547166088717563403315701676367149043996250995084577312910460123735744245455563174971582954797232619096525930073404815982968969112882443041792187879272567913204067444276731981229545722214020276045501771647523088786022900620994599332375000312583389784601826763212188202305549206347288332496161645866391276479473411814832393745128725576997189274499771947636548074327409667601565707501961112373433761981334837230952418874995533084916338534449521678890226180490811780881953408684450597718674580347386887124865283930843937854386696230959621628036292602502395863454718653435930101821943284624750486046408689315996999394060866165596160904583662529558672486811727808998138274980630436163029467972931682474470733302429910531088709,7,2.8965473175048828125000
3,4,3.136548490545939263814258044436539067556373541360018152232479353900393689250801177827554468682193905730374608846211269020007898976781565892115189988738738829182674250379024400634838953210355378962375260694472797679605861928024384122430474641355419413672060919836314956876503107261969178981410660825827687156416722045785558771166742185799838278039028471487969304890057720962814377858589865525017048514706076946713969549268179905049121267621840606922420994441166377252437170881343948255973562031254775333353177057075820901920759149642579454517756663613816327700068732813978216351812075643150513388207689310457507429934542739039563481114159941950343439848987954297142522361905577724841145729720867436774713296553437108101085484094331517403220805149389148452896359956921125467077125814573124578000189414695626269619633915364121317320406062257978971086167926774803993075489353614329624175238162132023555804367745587138772109440482914890659907008828846005813419155760783978536275520380524649279027074223068,0.0050441630438539746483853388429638166407958580150876687424652384074227170354078208004803566599231622517734776670710376270859456327690163396101694193897422882676098523229141204707206914125935759680067037343381779863275842004512641113563085239157824954735876470871453917339512193862442146258495883154460374305898842698026161103541787770294158136763358964046210551212728095860060886627942814269244630947269803236517900426849122810682606649899524981961270800212135854971301810044087766352543761517571737964804963053648357411652622453038157702194340385660446160027018064031980768249403090316679542811974426901106197153290180887462078616436296672232937388724804866040824310682409718605299050625588218221488287234026750209208753799400866424104089696219208120658108513930788729059009241364866071548159069038993981898357129929385212049878472824270562908450202442351991447632635329732035842061824550456455914992305079032899833592906766479732224467787649059519684386247713872482703374815473519619168821421971309,15,5.4104328155517578125000
4,6,3.141277250932772868062019770788214408379663262649789129824867044927097361586525961491274380225786743882092637853848696165556680498894618458527870451151842881168016436355755153090216613133818914290694077893480973561612038255372174392819335511511467089803216041958520386897308349873053057676222146153963170693246653475162018004325868124605120748649019220555233071939872833901016600800183388393003558885287071019521744029099625902287135548861204054810145482049931356283027779024408434437608473771938609050097986981342985073303042415408440047064254882955191870843703530814047015833183845290031515486409304088307610592415001965651157406859082468905623440418754722528739308323874076302636295707308697951541361055634980149026244364846538507108502503354841739331681592584223180805502533259820463587448513034586644394512368416069345632393008242627161180998244292827789150527389836623293292626095726700227820527528732820967367567674617541647427900433071034665384994625078151780664561151951910696847144431945821,0.0003154026570203704006236124912884758175061367253166911500775473807190446996830371367604451163303241000554486594336104815371641106559637731974889569766382362822676663461833680153430314891300406396878865353300021043214078731034738409674476537597348193424325249649399617131459767751603359310381029873105538937599528404261568771950528382241333430663451473373572880714576966478038657212007585589379527241459862508440155628534662838302463837505890503084025924124486064665395728613442904536194644110733400797356863810976715697829789795379551776729358192246690728590670084031292773435685393847869521829958279122605165528485588621346139358987071402680137383027137183724856451062724732827347550849709913073821809643211319799957164991878796527051272714164682211870256187657768175674755166912392681453675832840083800649429784922332968899152451020578740809329438781822139873113630499642399157553248904774413267760695206694613879010565420212164544533545227172923968631554540194461420518499759659143487647844743779,23,0E-21
5,10,3.141591421511199973997971763740833955747562650086180797675232600350217806532080723667742169640626417141232127985717179097365100561269118984391609676954802855970196803557482279985179429654919802481847020063603455229435396495139090707335763658376443152890500542224324607596934265703861896251543699664628914651022276605267061114765102398156906338436133713475162051272642723771538432064468917879040316920501755694804842383926495440388972497938351845195307016590327729537020883864239346845859342888545646060334793900883195217973574901325769019454488753668010417575990537206185277128655758840947866748728499221058928821819709307838573100935569938512902211519114934277834252576346498910769895639932206268893447156135696499829097395273598524410920711225021601464515080995929522353696435215870427531032994531403212174729706698452868844720007050844163403636278729289420981941290483753518303892945251197092666355886852133937253893631449914030405120657846101454085079487645869384482535696431990710768661855179000,0.0000012320785932644646716195386689284496067492889250232997119919575985997541282749602926557014906508409159585275651275497287440482814632473337497311736782614800872991444562411203802149680291524485349443652075204364980496333365575264510195068947587562551480246991357410135200609443514973557165494766448099359843297103211137667558185646723477532792306544174283087386878067772820344569152290729011946889313015755609172080265967457284094346734412599232410578720522332125464680215133780453685952944663030694988794615574614251124464936206262052827019485118505261267800020109910160480966258338706009206766327795091983234438515199471982418222196706607349672023535066233907008538000506746011551523474829900300948638204156291928634687608196354027090635462883590541921303540704760192816147351893042017831017871918122847256402098497736775882462938408718582949094417205821558974624028340149044884753659805764809477114013564915015750997096488334772331297476505036967782928863018423240773054958859004272473612411989,39,16.130924224853515625000
6,17,3.141592653514593120163348243281080432651659519822842849171815078089303231331893226340633026276554882098666322774965519020716949108720192770094728856535889147048766064678778572522085562035985399687492220840978566843776954507586885836059027261506692712323877989669005231591142867036309420575027647596726071282614371140788042666269684008075401114166404804959750762267566522957897261554319945833102719460831641331828700942637021207924762098160032221688191582276590031539376235989075763890500673552116609859442097577509890876757715005552482468142151435759038791609622002870890893933671638087354016472760228408949738104470680072414162166191441929903957820126206185902961119453313492399146277175342774251639434986652020245758296858804905414454529206725932199542373952751114772186929629641890100430316701121015200166346666301952693168527656057993851819053861929921097866540494561693530953230775915586063105016164588998385355653104437431826118356244149367517899503680242186022118578445671391812223432998450590,7.52001182992951399984224515455098795522629718031295142185131749543157722874017990655621858834817637383167876263768955008303894616306305515925919704015180380231599485834740825869635552428897435878324088221564916208887623977277559037645091968217705772544551170193114596119039730322326015445476533043922351748001322152512369547538529775489595629328395977437640075909232049670642011188387921486014159385370586493160709781926198344517608834303564921857899312101911158966769610007272646308953392703915757849307657663283063893939127565950392664208221520931485363462853992430807465874644511966449035916183890407928807553716091765663476792696793585952622549982638339768330571862247736169369150072841070333040918832636640052295127453591005680453777609763332585988852261860484203091696313024993951975798242931086806063499493537805972866911834428773262410889052712982583248940022551506447015916060422874336644920433998156267221310377639975434443844398823541002899852046880345562564847989724762179696089E-11,67,15.2547359466552734375000
7,28,3.141592653589793220533538029963396538462565149861408048914109324497551701370298571151806303466822889561842818992380197124820494432138537439592430524026111492415618775575555577385178072712976483555804345071276749495929604870995652498484484873338953150912326359917235719216795807101377517472612537154480728065795634637530532934618812716825273692804639248183994825400108744728178089290515348423477583476793729889840439647466089565522051239524522285317922087639056968882161272457683416570527819394789419324615052173744224482680769159589856505840353855011897438320038410262912442716892786377957301682735712134760580778960484658281149604023329586701691096671730439235699677544298719232951802321157092552266774661982775692728919379750780298953158849089508433227915349095238683095426031976211699302054684590226286768734218225205176074858810657547706335631517170088173105904674732662280274220347095552612662970338720334147510688055041389091715144052408945870949197703178031801878537184956606539926524543616552,1.79291053533161063457346042495136977720608352678102647049159104274762285218752941784203052675209021095222733501774120447921329288841023696250346653271263829437203815719099724713745776193575342261700038412574799957353022982919322487582333222070062246293936585195468358761346477119867929965212109716780576419469021082460039803989107251197085955346112217858206423772308687985284639281326393273805253199444870026205953306930872708198006259868233229938674060794280693083207001187882225298052186211886964321604052522353565387188968368471679635053827321289542638504598595982968611659866694198658075463663030761695046217387344600224719460820497380016655252758858478303524192484711225967066567673579733364362930414842836378608604709256818015272907918622547613152775520179748480324307614117283687376907211286830974664474494426871373289262996710009218300319340781539252529341610735216250564843332595331562812447806761181737721672097351848060868326600773541394249280758169712700712693846728036469E-17,111,19.0145969390869140625000
8,45,3.141592653589793238462643382235891599309512225906427603675337174257326275134662867366378155419072136630573395980652817631103088015006399470024878820337033642009879939742974282075634683327672008178532716575848446415439482165558286512694654979462052952585885987921783555910607614072839221763896632456399740553856602257309485041856262347182901684222713340883340464515171466292284612050572326880925797924619357951021139220659217064360566739679313901804467902671493835887932087000510894996552478648397713668223701674960536088015494438670363285820147267487175458345602671603779384730684287207579791865918057712353713436956003936761006607021291657509686629744281017726920851584395048789957635132952979794275630243252708801807304536590438479205567992181714979140330575631658627763338208508679646037883599750267306775913555537257163507272345736480303078622846019511115753256275887441320120973847027174265309153723123937142980374089007919106436798637552850599647666315717757094719761633656213216830154661834147,1.0436112848876571734686782172996074180504901311515461312616566699230449313515746905326294890159907565945441827617004805877914474754404041629589642390299249612952769467518492478529625292504939639629173617210921281858091489565597625790016767926998467125753741718433636166848739840331500040582786898396646586156463524074926510270092498954961590642565358544708118200710157136848136993193446203712938751217568151929324792033140801717908861268616352648852418298946754595346142354616099716874801205550705269562760319389170434346926854853571678676133969084460680974672386758034870742882144137083075568910247647357364979516639505489771874231743041018457515007954134156593267094646479117767034033272146563274439796806080617825895949813783766357183413706096398414423800856949324965683277176835417913710454790150359076082047321833083421514988873845824769991462130874075735900034038381498751295532857750946421516437574455551500409013581341914648144141320868513682716633943657545545860519E-27,179,31.0685634613037109375000
9,72,3.141592653589793238462643383279502884197169341443041958928911201751949579486820292156508114905930262131047615079625624197303521501651457257095414327113084357330944789982887655738292590522764275940321528602814668990705032465036756992015686112565548550341492238088463635101691145182009196201245410638637708093236754155168458873381126633391492819454095012293694255925832939168347800400391137234294587791438214939046458314310479441366202977055208991403729075910352861631952028887186758366180896331494202641402193991226301736365822314297071932750062402664160313222298853737960195891569590769083757577697676501811672071733519509266604538777892014466656754259822027611777068722741199544220010749481745414281596530585006587737623769106255398675452190041423721902679589836156594493234135701555211146978246515241044663203292807710281242832028909950179995297368379178614184894737146051666476131765331905715100590262286801941675017918014161258181159804207275580048417264865332372597843318387084434328287244056582,5.79320638620460333905558668267993887064715267104361868058511004714336566824497903231078991249746299450810153967601193393127190508653672670541001846789900604358259963066752284136634388912417710970527056533588041563288349967135087631814662041974060148385026360164937698521604197160081397943294377612722612693555988961040854975913804726661209930097176469238179948423313193012776426127447511789555565841137148189985520271011176153229985659665250470418515177464884314793712143549067201990806493232919871282995157006304804716854792160972851827939057347100917074554987564550735300413185191668039798975947069804244616464132894478847074053500411510400427979438446419454893711055412843370949281627611381775847298862386160276215138434038797439142495045205858378498033539797962520541005923612794762244347348552666338197918313889529440157405358667322496552852719540467133359666884870804508131454016057011939833864763777334405156668388542087696835407921768676219723636169E-44,287,39.7772789001464843750000
